Define categories for actions to align with adaptation types and similar functional movements,,Define candidate action's applicability to movement,,,,,,,,How to Apply Weight,,,,,,,,,,,,,,Primary Joint Actions: selecting muscles to apply primary load type - dependent on adaptation type power/maxstrength/endstrength,,,,,,,,,,,,,,"Ancillary Joint Actions: selecting Fixators muscles to apply strength endurance load
If stability intensity should affect load magnitude (i.e. weight implement, speed, surface), then fixator. Else Primary action.
https://www.youtube.com/watch?v=c0kf7B54mXg",,,,,,,,,NASM correctives pg 57 - squat and bunch press examples,,,,,
id,component_actions,compound_action_name,action_name,Rep_Conversion,example,example_urls,Categorization,categorization,,training_type,eligible_external_resistance,stance_lower_body,stance_upper_body,lateral_distribution_pattern,arm,torso,leg,percent_bodyweight,lateral_distribution,apply_resistance,relative_explosiveness,apply_instability,,muscle_action,hip_joint_rating,hip_joint_action,knee_joint_priority,knee_joint_action,ankle_joint_priority,ankle_joint_action,trunk_joint_priority,trunk_joint_action,shoulder_scapula_joint_priority,shoulder_scapula_joint_action,elbow_joint_priority,elbow_joint_action,,muscle_action,hip_stability,ankle_stability,trunk_stability_fm,pelvis_stability_fm,shoulder_stability,elbow_stability,sij_stability,Intrinsic Stabilization Subsystem (ISS),"Lumbo-pelvic-hip complex
adductor longus, adductr brevis, tansverse abdominis, glute medius","Lower extremity musculature
flexor hallucis longus, posterior tib, anerior tib, soleus, gastrocnemius","scapular stabilizers
trapezius, rhomboids","Posterior Oblique Subsytem
stabilizes SIJ, transverse planes i.e. running impact
","Anterior Oblique Subsystem
transverse plane stabilization - i.e. duirng walking swing phase
internal and external obiques, adductor complex, hip external rotators","Lateral Subsystem
frontal plane stability i.e. staing upright during single leg activities
glute med, tfl, adductor complex, quadratus lumborum"
,,Cardio - Gait Types,,,,,cardio_action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Bipedal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_a,,ruck,Propulsion,,,,ruck,,,strength_cardiorespiratory,"ruck, sandbag",single_leg,,unilateral_alternating,2,1,2,100,"100, 0",TRUE,no_speed,TRUE,,concentric,1,hip extension,2,knee extension,3,ankle plantar flexion,,,,,,,,isometric,frontal plane,frontal plane,,,,,,,,,,,,
0_b,,,Loading,,,,ruck,,,strength_cardiorespiratory,"ruck, sandbag",single_leg,,unilateral_alternating,2,1,2,100,"100, 0",TRUE,no_speed,TRUE,,eccentric,1,hip flexion,2,knee flexion,3,ankle dorsiflexion,,,,,,,,isometric,frontal plane,frontal plane,sagital plane,sagital plane,,,,,,,,,,
0_c,,,Swing,,,,ruck,,,strength_cardiorespiratory,,single_leg,,unilateral_alternating,,,1,20.37,"100, 0",FALSE,no_speed,FALSE,,concentric,1,hip flexion,2,knee flexion,3,ankle dorsiflexion,,,,,,,,isometric,,,transverse plane,,,,,,,,,,,
1_a,,run,Propulsion,,,,run,,,strength_cardiorespiratory,,single_leg,,unilateral_alternating,2,1,2,100,"100, 0",TRUE,no_speed,TRUE,,concentric,1,hip extension,2,knee extension,3,ankle plantar flexion,,,,,,,,isometric,frontal plane,frontal plane,,,,,,,,,,,,
1_b,,,Loading,,,,run,,,strength_cardiorespiratory,,single_leg,,unilateral_alternating,2,1,2,100,"100, 0",TRUE,no_speed,TRUE,,eccentric,1,hip flexion,2,knee flexion,3,ankle dorsiflexion,,,,,,,,isometric,frontal plane,frontal plane,sagital plane,sagital plane,,,,,,,,,,
1_c,,,Swing,,,,run,,,strength_cardiorespiratory,,single_leg,,unilateral_alternating,,,1,20.37,"100, 0",FALSE,no_speed,TRUE,,concentric,1,hip flexion,2,knee flexion,3,ankle dorsiflexion,,,,,,,,isometric,,,transverse plane,,,,,,,,,,,
2_a,,sprint,Propulsion,,,,sprint,,,strength_cardiorespiratory,sled,single_leg,,unilateral_alternating,2,1,2,100,"100, 0",TRUE,low_force,TRUE,,concentric,1,hip extension,2,knee extension,3,ankle plantar flexion,,,,,,,,isometric,frontal plane,frontal plane,,,,,,,,,,,,
2_b,,,Loading,,,,sprint,,,strength_cardiorespiratory,,single_leg,,unilateral_alternating,2,1,2,100,"100, 0",TRUE,no_speed,TRUE,,eccentric,1,hip flexion,2,knee flexion,3,ankle dorsiflexion,,,,,,,,isometric,frontal plane,frontal plane,sagital plane,sagital plane,,,,,,,,,,
2_c,,,Swing,,,,sprint,,,strength_cardiorespiratory,,single_leg,,unilateral_alternating,,,1,20.37,"100, 0",FALSE,no_speed,FALSE,,concentric,1,hip flexion,2,knee flexion,3,ankle dorsiflexion,,,,,,,,isometric,,,transverse plane,,,,,,,,,,,
3_a,,race walking,Propulsion,,,,race_walking,,,strength_cardiorespiratory,,single_leg,,unilateral_alternating,2,1,2,100,"100, 0",TRUE,no_speed,TRUE,,concentric,1,hip extension,2,knee extension,3,ankle plantar flexion,,,,,,,,isometric,frontal plane,frontal plane,,,,,,,,,,,,
3_b,,,Loading,,,,race_walking,,,strength_cardiorespiratory,,single_leg,,unilateral_alternating,2,1,2,100,"100, 0",TRUE,no_speed,TRUE,,eccentric,1,hip flexion,2,knee flexion,3,ankle dorsiflexion,,,,,,,,isometric,frontal plane,frontal plane,sagital plane,sagital plane,,,,,,,,,,
3_c,,,Swing,,,,race_walking,,,strength_cardiorespiratory,,single_leg,,unilateral_alternating,,,1,20.37,"100, 0",FALSE,no_speed,FALSE,,concentric,1,hip flexion,2,knee flexion,3,ankle dorsiflexion,,,,,,,,isometric,,,transverse plane,,,,,,,,,,,
,,Cycling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
